Date,Open,High,Low,Close,Adj Close,Volume
2018-09-01,7.003750,7.130500,6.467000,7.025500,6.963061,6340200000
2018-10-01,7.104000,7.319000,4.400250,5.270750,5.223907,12977976000
2018-11-01,5.307500,5.550000,3.332750,4.085750,4.049439,16162340000
2018-12-01,4.315000,4.367000,3.111500,3.337500,3.311149,12451408000
2019-01-01,3.266000,4.022000,3.192250,3.593750,3.565376,16870992000
2019-02-01,3.612500,4.132000,3.564500,3.856500,3.826051,11445728000
2019-03-01,3.906750,4.625000,3.620000,4.489000,4.458146,12068540000
2019-04-01,4.581500,4.836750,4.332500,4.525000,4.493900,9437780000
2019-05-01,4.577750,4.621750,3.384750,3.386500,3.363224,11180752000
2019-06-01,3.397750,4.134250,3.315000,4.105750,4.082185,8233340000
2019-07-01,4.314250,4.472250,3.875000,4.218000,4.193790,8415984000
2019-08-01,4.228500,4.336250,3.684750,4.187750,4.163714,9450328000
2019-09-01,4.114500,4.710000,4.081250,4.351750,4.331056,6347768000
2019-10-01,4.375000,5.222500,4.253250,5.025500,5.001602,7696172000
2019-11-01,4.990000,5.535250,4.964750,5.418500,5.392734,7321800000
2019-12-01,5.411500,6.045250,5.009250,5.882500,5.858848,6543532000
2020-01-01,5.968750,6.487500,5.781750,5.910750,5.886983,6125412000
2020-02-01,5.892500,7.908000,5.886250,6.751750,6.724602,11848652000
2020-03-01,6.922500,7.122250,4.517000,6.590000,6.567428,15773952000
2020-04-01,6.391250,7.605000,5.959750,7.307000,7.281971,11278304000
2020-05-01,7.108750,9.181750,7.021000,8.875500,8.845098,12548876000
2020-06-01,8.833250,9.642500,8.658000,9.497750,9.465219,9719464000
2020-07-01,9.520750,10.792250,9.413000,10.614750,10.583218,8094452000
2020-08-01,10.732500,13.575000,10.715250,13.374500,13.334772,9672544000
2020-09-01,13.480000,14.726750,11.704250,13.530500,13.490311,15856552000
2020-10-01,13.758000,14.348500,12.300000,12.534000,12.500510,8022356000
2020-11-01,12.657750,14.691500,12.395000,13.401500,13.365688,7594820000
2020-12-01,13.492250,13.731250,12.763250,13.055000,13.020114,5120996000
2021-01-01,13.104250,13.999250,12.586000,12.989750,12.958866,6154172000
2021-02-01,13.053250,15.372500,12.902750,13.714500,13.681894,6680324000
2021-03-01,13.875000,13.925000,11.566500,13.348250,13.316514,7648656000
2021-04-01,13.572250,16.214251,13.511250,15.009500,14.978982,6718796000
2021-05-01,15.125000,16.277500,13.459000,16.244499,16.211470,7054380000
2021-06-01,16.270000,20.162500,15.903250,20.002501,19.961836,10273292000
2021-07-01,20.125000,20.875000,17.865499,19.499001,19.463816,7823077000
2021-08-01,19.700001,23.042999,18.761999,22.385000,22.344606,6416386000
2021-09-01,22.485001,22.986000,20.466999,20.716000,20.682268,4998986000
2021-10-01,20.750000,25.709000,19.555000,25.566999,25.525366,4971078000
2021-11-01,25.649000,34.646999,25.226999,32.675999,32.622784,10811170000
2021-12-01,33.219002,33.289001,27.145000,29.410999,29.363106,11058505000
2022-01-01,29.815001,30.711000,20.888000,24.486000,24.449118,10682164000
2022-02-01,25.104000,26.924999,20.889999,24.385000,24.348274,10644270000
2022-03-01,24.291000,28.945999,20.650000,27.285999,27.244904,11644599000
2022-04-01,27.375000,27.558001,18.290001,18.547001,18.522223,11114390000
2022-05-01,18.541000,20.400000,15.567000,18.672001,18.647055,13833021000
2022-06-01,18.724001,19.618999,14.862000,15.159000,15.138746,10554791000
2022-07-01,14.899000,18.243999,14.055000,18.163000,18.142567,10564476000
2022-08-01,18.181999,19.274000,14.959000,15.094000,15.077021,12069648000
2022-09-01,14.209000,14.547000,11.946000,12.139000,12.125342,13130578000
2022-10-01,12.347000,13.850000,10.813000,13.497000,13.485823,12549277000
2022-11-01,13.811000,16.997999,12.956000,16.923000,16.908987,10600603000
2022-12-01,16.999001,18.790001,13.884000,14.614000,14.605634,8946152000
2023-01-01,14.851000,20.628000,14.034000,19.537001,19.525820,9454960000
2023-02-01,19.691000,23.888000,19.611000,23.216000,23.202709,10393479000
2023-03-01,23.191999,27.834000,22.297001,27.777000,27.761099,11263731000
2023-04-01,27.509001,28.110001,26.219999,27.749001,27.737825,7436450000
2023-05-01,27.840000,41.938000,27.240000,37.834000,37.818760,11697819000
2023-06-01,38.488998,43.990002,37.355999,42.301998,42.284962,10527050000
2023-07-01,42.516998,48.088001,41.346001,46.729000,46.715012,8706845000
2023-08-01,46.459999,50.265999,40.311001,49.355000,49.340225,13632152000
2023-09-01,49.762001,49.799999,40.980000,43.499001,43.485985,8579273000
2023-10-01,44.029999,47.609001,39.230000,40.779999,40.771152,10141101000
2023-11-01,40.883999,50.548000,40.868999,46.770000,46.759853,9144618000
2023-12-01,46.525002,50.432999,45.009998,49.521999,49.511257,7411887000
2024-01-01,49.243999,63.493000,47.320000,61.527000,61.519058,9706237000
2024-02-01,62.099998,82.393997,61.650002,79.112000,79.101791,11077899000
2024-03-01,80.000000,97.400002,79.434998,90.356003,90.344337,12149218000
2024-04-01,90.299004,92.224998,75.606003,86.402000,86.394905,10074181000
2024-05-01,85.077003,115.819000,81.254997,109.633003,109.624001,9647971000
2024-06-01,113.621002,136.330002,112.002998,135.580002,135.568863,4436373300
2024-06-20,139.850006,140.759995,136.130005,137.066406,137.066406,219763464
